Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments
Ayodya Complex,"BB Road Yelanka",Yes,Yes,Yelahanka,
Govt. Hospital,"Hospital Rd Yelanka",Yes,Yes,Yelahanka,
BBMP office,"BBMp Office Road ,Yelahanka",Yes,Yes,Chowdeswari Ward,
Near Post ofiice,"BB Road Yelanka","Yes",
Ayodya Complex,"Suggappa Layout MR.","Yes",
Govt. Hospital,"Hospital Rd Yelanka","Yes",
BBMP office,"BBMp Office Road","Yes",
Near Chikka bettahalli Rd,"Masjid rd","No",
Doddaballapura MR near NES office,"BBMp Office Road","No",
Yelahanaka new town, opp RTO complex,"BBMp Office Road","No",
jakkur 18th Cross,"Jakkur main Raod","Yes",
Vinayakanagara,"Bagalur Main Road","Yes",
Kogilu Layout,"Kogilu Bande Raod","Yes",
Near BBMP office,"Byatarayanapura","Yes",
Near Hebbal Fly over,"Hebbal","Yes",
Adjoining to Ranga mindra,"Behind Damodhar Rd","Yes",
Near BMTC Bus stop Narasapura,"Durga Temple Rd","Yes",
Thindul circle,"Vidyaranyapura Main Rd","Yes",
Near Nanjappa Circle,"Nanjappa Cirlce","Yes",
Doddabommasandra Main Road,"Petrom bunk Opposite","Yes",
M.S.Palaya circle,"Yelanka Double road","Yes",
Ramchandra Pura,"Opposite to Kerosine Bunk","Yes",
Manjunath Nagar,"labour colony mandali compound  video park Rd","Yes"
1st Main Dollars Colony,"labour colony mandali compound","Yes",
Sanjanagara Main Road,"Opposite to Kerosine Bunk","Yes",
Nagesh shetty Bus stop,"Opposite to Kerosine Bunk","Yes",
Bull ward Park,"Durga Temple Rd","Yes",
Sanjanagara Main Road,"Durga Temple Rd","No",
Sanjanagara Main Road,"1st main","Yes",
5th Main Road,"Durga Temple Rd","Yes",
HMT Play Ground,"Durga Temple Rd","Yes",
Ballary Main Road near Bablist Hospital,"Durga Temple Rd","Yes",
Near Police station Bellary main Road,"Durga Temple Rd","Yes",
Near Hebbal Bus stopnn bellary main road,"Durga Temple Rd","Yes",
